1.03, 0.0000860
1.07, 0.0000787
1.11, 0.0000715
1.14, 0.0000658
1.18, 0.0000599
1.22, 0.0000530
1.26, 0.0000468
1.30, 0.0000418
1.35, 0.0000373
1.39, 0.0000329
1.44, 0.0000290
1.49, 0.0000260
1.54, 0.0000231
1.59, 0.0000204
1.64, 0.0000186
1.70, 0.0000170
1.75, 0.0000155
1.81, 0.0000146
1.87, 0.0000135
1.93, 0.0000129
2.00, 0.0000118
2.06, 0.0000108
2.13, 0.00000985
2.20, 0.00000874
2.28, 0.00000791
2.35, 0.00000719
2.43, 0.00000633
2.51, 0.00000557
2.60, 0.00000493
2.68, 0.00000444
2.77, 0.00000392
2.86, 0.00000345
2.96, 0.00000307
3.06, 0.00000275
3.16, 0.00000243
3.26, 0.00000222
3.37, 0.00000203
3.49, 0.00000185
3.60, 0.00000164
3.72, 0.00000149
3.85, 0.00000136
3.97, 0.00000127
4.11, 0.00000119
4.24, 0.00000110
4.38, 0.00000104
4.53, 9.86e-7
4.68, 9.24e-7
4.84, 8.64e-7
5.00, 8.15e-7
5.16, 7.74e-7
5.34, 7.26e-7
5.51, 6.83e-7
5.70, 6.67e-7
5.89, 6.23e-7
6.08, 6.20e-7
6.28, 5.76e-7
6.43, 5.55e-7
6.81, 5.70e-7
7.04, 5.80e-7
7.27, 6.22e-7
7.51, 6.22e-7
7.76, 6.22e-7
8.02, 6.22e-7
8.29, 6.10e-7
8.57, 5.71e-7
8.85, 5.70e-7
9.15, 5.70e-7
9.45, 5.70e-7
9.76, 5.71e-7
10.1, 6.11e-7
10.4, 6.92e-7
10.7, 8.37e-7
11.0, 0.00000105
11.1, 0.00000134
11.2, 0.00000165
11.3, 0.00000207
11.4, 0.00000264
11.5, 0.00000349
11.6, 0.00000454
11.7, 0.00000607
11.8, 0.00000762
11.9, 0.00000998
12.1, 0.0000122
12.2, 0.0000147
12.5, 0.0000185
13.0, 0.0000210
13.2, 0.0000231
